Country Name,Regional indicator,Ladder Score,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,2018_gdp,2018_growth,2018_life,2018_co2
Serbia,Central and Eastern Europe,5.936,9.762,0.853,0.74,-0.1,0.864,0.559,0.296,50640650221,4.495121293,75.8902439,45540
Sierra Leone,Sub-Saharan Africa,4.306,7.417,0.65,0.716,0.095,0.856,0.552,0.466,4085114794,3.446162621,54.309,1020
Singapore,Southeast Asia,6.375,11.49,0.903,0.916,-0.066,0.097,0.787,0.107,3.76E+11,3.497469601,83.29756098,47360
Slovenia,Central and Eastern Europe,6.249,10.546,0.941,0.942,-0.119,0.839,0.644,0.275,54137142149,4.422521568,81.37804878,14050
South Africa,Sub-Saharan Africa,4.884,9.444,0.841,0.753,-0.05,0.841,0.812,0.283,3.68E+11,0.78705557,63.857,433250
Spain,Western Europe,6.513,10.605,0.91,0.722,-0.075,0.777,0.659,0.357,1.42E+12,2.288785676,83.43170732,258340
Sri Lanka,South Asia,4.435,9.462,0.833,0.859,0.106,0.856,0.831,0.302,87954272082,3.272000479,76.812,21630
Sweden,Western Europe,7.375,10.881,0.931,0.942,0.077,0.263,0.823,0.161,5.55E+11,1.950022846,82.55853659,36000
Switzerland,Western Europe,7.509,11.134,0.93,0.926,0.101,0.301,0.792,0.192,7.36E+11,2.916905098,83.75365854,37480
Tajikistan,Commonwealth of Independent States,5.497,8.082,0.875,,-0.065,0.578,0.695,0.22,7765014424,7.599999387,70.879,7330
Tanzania,Sub-Saharan Africa,3.445,7.859,0.675,0.807,0.153,0.612,0.762,0.221,57003713748,5.444967632,65.015,11580
Thailand,Southeast Asia,6.012,9.803,0.873,0.905,0.259,0.907,0.843,0.198,5.07E+11,4.189585496,76.931,257860
Togo,Sub-Saharan Africa,4.023,7.348,0.596,0.612,-0.007,0.809,0.608,0.446,7112200725,4.9762131,60.76,2260
Tunisia,Middle East and North Africa,4.741,9.284,0.733,0.65,-0.191,0.84,0.592,0.365,39770478673,2.663592389,76.505,29980
Turkey,Middle East and North Africa,5.186,10.251,0.847,0.529,-0.176,0.805,0.435,0.351,7.78E+11,2.958966728,77.437,412970
Turkmenistan,Commonwealth of Independent States,4.621,9.605,0.984,0.858,0.26,,0.612,0.189,40765428571,6.199999941,68.073,71730
Uganda,Sub-Saharan Africa,4.322,7.66,0.74,0.729,0.079,0.856,0.685,0.39,32912338571,6.162619139,62.973,6130
Ukraine,Commonwealth of Independent States,4.662,9.42,0.901,0.663,-0.074,0.943,0.609,0.222,1.31E+11,3.405295518,71.58268293,185370
United Arab Emirates,Middle East and North Africa,6.604,11.112,0.851,0.944,0.054,,0.787,0.302,4.22E+11,1.189855638,77.814,200300
United Kingdom,Western Europe,7.233,10.743,0.928,0.838,0.226,0.404,0.783,0.228,2.86E+12,1.252590613,81.25609756,358800
United States,North America,6.883,11.025,0.904,0.825,0.116,0.71,0.815,0.292,2.06E+13,2.996464352,78.63902439,4981300
Uruguay,Latin America and Caribbean,6.372,9.98,0.917,0.876,-0.097,0.683,0.877,0.275,64515038268,0.477907184,77.77,6520
Uzbekistan,Commonwealth of Independent States,6.205,8.818,0.921,0.97,0.318,0.52,0.825,0.209,50392607758,5.446444862,71.573,112090
Vietnam,Southeast Asia,5.296,8.934,0.832,0.909,-0.041,0.808,0.692,0.191,2.45E+11,7.075788617,75.317,257860
Zambia,Sub-Saharan Africa,4.041,8.167,0.718,0.791,0.048,0.811,0.703,0.351,26311637647,4.034378235,63.51,7740
Zimbabwe,Sub-Saharan Africa,3.616,8.049,0.775,0.763,-0.068,0.844,0.71,0.212,19523622342,3.497159535,61.195,12270
